ID,Total Cost per Month,Rental Type,Number of Bedrooms,Postcode,Date Listed,Number of Bathrooms,Number of Living Rooms,Distance to First Public Transport Hub (Miles),First Public Transport Hub Name,Distance to Second Public Transport Hub (Miles),Second Public Transport Hub Name,Cost per Bedroom,Bedrooms to Bathrooms Ratio,Bedrooms to Living Rooms Ratio,Zone
46160599,700.0,Room to Rent,1.0,se4,2022-10-21,1.0,,0.3,Crofton Park,0.5,Ladywell,700.0,1.0,,3
63493233,700.0,Room to Rent,1.0,nw2,2022-12-19,2.0,,0.3,Dollis Hill,0.5,Willesden Green,700.0,0.5,,3
63470719,700.0,Room to Rent,1.0,se6,2022-12-15,2.0,1.0,0.9,Lee (London),1.0,Hither Green,700.0,0.5,1.0,3
63492637,700.0,Room to Rent,1.0,sw2,2022-12-19,1.0,,0.5,Brixton,0.5,Herne Hill,700.0,1.0,,2
63409065,700.0,Flat,1.0,w7,2022-12-06,1.0,,0.4,Drayton Green,0.4,Hanwell,700.0,1.0,,4
53109288,700.0,Room to Rent,1.0,se13,2022-11-02,1.0,,0.4,Hither Green,0.6,Ladywell,700.0,1.0,,3
63471795,710.0,Room to Rent,1.0,n12,2022-12-15,2.0,,0.8,New Southgate,1.2,Woodside Park,710.0,0.5,,4
63422034,715.0,Room to Rent,1.0,w9,2022-12-08,,,0.3,Queen's Park,0.3,Queens Park (London),715.0,,,
59166674,725.0,Room to Rent,1.0,e15,2022-11-03,,,0.0,Abbey Road,0.3,West Ham,725.0,,,3
63442801,725.0,Room to Rent,1.0,se23,2022-12-10,2.0,,0.7,Bellingham,0.7,Forest Hill,725.0,0.5,,3
63424641,725.0,Room to Rent,1.0,se12,2022-12-08,1.0,1.0,0.5,Lee (London),0.7,Kidbrooke,725.0,1.0,1.0,3
63420514,725.0,Room to Rent,1.0,w5,2022-12-07,,,0.4,South Ealing,0.6,Ealing Broadway,725.0,,,3
62886513,725.0,Room to Rent,1.0,se26,2022-11-14,2.0,1.0,0.2,Penge East,0.3,Sydenham (London),725.0,0.5,1.0,4
63371506,725.0,Room to Rent,1.0,se26,2022-11-30,1.0,1.0,0.2,Penge East,0.3,Sydenham (London),725.0,1.0,1.0,4
50087516,728.0,Room to Rent,1.0,n1,2020-12-03,2.0,1.0,0.2,Hoxton,0.5,Haggerston,728.0,0.5,1.0,1
62688446,730.0,Room to Rent,1.0,se18,2022-10-19,1.0,,0.5,Plumstead,1.0,Abbey Wood,730.0,1.0,,4
58272934,737.0,Studio,1.0,sw12,2021-04-13,1.0,,0.4,Wandsworth Common,0.5,Clapham South,737.0,1.0,,3
63429274,745.0,Room to Rent,1.0,nw2,2022-12-08,2.0,,0.5,Cricklewood,0.6,Willesden Green,745.0,0.5,,3
61543799,745.0,Room to Rent,1.0,nw2,2022-11-07,1.0,,0.2,Kilburn,0.3,Brondesbury,745.0,1.0,,2
61985631,745.0,Flat,1.0,e1,2022-12-19,1.0,,0.2,Whitechapel,0.2,Whitechapel,745.0,1.0,,2
56909281,750.0,Property,0.0,se20,2022-12-05,1.0,1.0,0.2,Anerley,0.5,Penge West,inf,0.0,0.0,4
59085997,750.0,Room to Rent,1.0,e1,2022-11-02,1.0,,0.2,Stepney Green,0.4,Bethnal Green,750.0,1.0,,2
63410734,750.0,Room to Rent,1.0,e4,2022-12-06,1.0,1.0,1.1,Brimsdown,1.4,Ponders End,750.0,1.0,1.0,5
62789909,750.0,Room to Rent,1.0,se25,2022-11-02,,,0.1,Selhurst,0.7,Norwood Junction,750.0,,,4
63484286,750.0,Room to Rent,1.0,se20,2022-12-17,1.0,1.0,0.3,Birkbeck,0.5,Anerley,750.0,1.0,1.0,4
53195039,750.0,Room to Rent,1.0,sw16,2022-10-25,1.0,1.0,0.4,Norbury,0.4,Streatham Common,750.0,1.0,1.0,3
63388760,750.0,Room to Rent,1.0,n14,2022-12-03,1.0,,0.6,Arnos Grove,0.6,Southgate,750.0,1.0,,4
63451700,750.0,Room to Rent,1.0,e2,2022-12-12,1.0,,0.1,Bethnal Green,0.3,Bethnal Green,750.0,1.0,,2
63415876,750.0,Room to Rent,1.0,sw2,2022-12-07,1.0,,0.4,Brixton,0.5,Brixton,750.0,1.0,,2
56896138,750.0,Room to Rent,1.0,se23,2022-11-17,2.0,3.0,0.2,Forest Hill,0.8,Sydenham (London),750.0,0.5,0.3333333333333333,3
62847546,750.0,Room to Rent,1.0,n16,2022-11-10,1.0,,0.2,Stoke Newington,0.4,Stamford Hill,750.0,1.0,,2
63318295,750.0,Room to Rent,1.0,e3,2022-11-24,2.0,,0.3,Devons Road,0.5,Langdon Park,750.0,0.5,,2
62789914,750.0,Room to Rent,1.0,se25,2022-11-02,,,0.1,Selhurst,0.7,Norwood Junction,750.0,,,4
63322386,750.0,Property,1.0,n17,2022-11-25,1.0,,0.2,Bruce Grove,0.6,Seven Sisters,750.0,1.0,,3
63034727,750.0,Room to Rent,1.0,se25,2022-11-17,1.0,,0.5,Norwood Junction,0.7,Thornton Heath,750.0,1.0,,4
60989079,750.0,Room to Rent,1.0,e14,2022-11-14,1.0,1.0,0.2,Mudchute,0.2,Island Gardens,750.0,1.0,1.0,2
54244835,750.0,Room to Rent,1.0,w3,2022-11-16,,,0.2,East Acton,0.5,North Acton,750.0,,,2
63485960,750.0,Room to Rent,1.0,e14,2022-12-17,1.0,,0.1,Westferry,0.3,Canary Wharf Pier,750.0,1.0,,2
46245837,750.0,Room to Rent,1.0,nw7,2022-12-15,1.0,,0.2,Mill Hill Broadway,0.9,Burnt Oak,750.0,1.0,,4
63490600,750.0,Room to Rent,1.0,nw4,2022-12-19,,,0.6,Hendon Central,0.6,Hendon,750.0,,,3
62720745,750.0,Room to Rent,1.0,nw7,2022-10-24,,1.0,0.5,Mill Hill Broadway,1.0,Colindale,750.0,,1.0,4
60442969,750.0,Room to Rent,1.0,n19,2022-12-14,2.0,,0.5,Archway,0.5,Crouch Hill,750.0,0.5,,2
55879140,750.0,Room to Rent,1.0,n12,2022-12-08,1.0,,0.5,Woodside Park,0.7,Totteridge and Whetstone,750.0,1.0,,4
60445753,750.0,Room to Rent,1.0,w13,2022-12-20,1.0,1.0,0.2,West Ealing,0.3,Drayton Green,750.0,1.0,1.0,3
33974465,750.0,Studio,1.0,nw9,2022-11-25,1.0,1.0,0.4,Burnt Oak,0.5,Colindale,750.0,1.0,1.0,4
63339873,750.0,Room to Rent,1.0,n4,2022-11-28,2.0,,0.3,Finsbury Park,0.3,Finsbury Park,750.0,0.5,,2
61667587,750.0,Flat,4.0,n11,2022-06-09,2.0,,0.1,Arnos Grove,0.4,New Southgate,187.5,2.0,,4
62595449,750.0,Room to Rent,1.0,sw17,2022-10-07,1.0,,0.4,Tooting Bec,0.5,Wandsworth Common,750.0,1.0,,3
60348114,755.0,Room to Rent,1.0,e1,2022-11-28,1.0,1.0,0.1,Bethnal Green,0.3,Whitechapel,755.0,1.0,1.0,2
63365513,758.0,Room to Rent,1.0,nw10,2022-11-30,,,0.3,Willesden Junction,0.3,Willesden Junction,758.0,,,3
54646438,758.0,Room to Rent,1.0,e14,2022-12-12,2.0,,0.3,Limehouse,0.3,Limehouse,758.0,0.5,,2
